Store Type,City,Gender,Age,Age Group,Q1 Expenditure,Q2 Expenditure,Q3 Expenditure,Q4 Expenditure,Discount Used
Merchandise,Jaipur,Male,52,Senior,16668.44,23173.14,4386.33,6856.98,No
Grocery,Pune,Female,26,Adult,13122.75,9907.19,15248.86,17762.46,Yes
Grocery,Pune,Female,34,Adult,11033.7,5391.2,19807.35,17867.18,No
Grocery,Delhi,Male,61,Senior,12558.13,22441.13,13168.87,9524.58,No
Grocery,Mumbai,Male,60,Senior,5342.54,,16459.41,3565.23,No
Merchandise,Indore,Female,24,Young Adult,822.12,21637.28,10482.71,12038.71,Yes
Grocery,Kolkata,Male,23,Young Adult,7423.52,12449.06,19149.46,12812.18,Yes
Merchandise,Lucknow,Male,19,Young Adult,10731.11,19018.43,,15942.13,Yes
Merchandise,Delhi,Female,57,Senior,16167.2,4229.32,,8379.74,Yes
Merchandise,Chennai,Female,62,Senior,10382.99,23502.18,4370.27,-7464.83,No
Merchandise,Bangalore,Male,26,Adult,18834.4,647.13,11588.87,7223.19,Yes
Grocery,Delhi,Male,20,Young Adult,1042.31,6654.75,5295.1,3889.81,No
Merchandise,Jaipur,Male,30,Adult,7439.32,24863.9,16677.0,8378.99,No
Grocery,Hyderabad,Male,28,Adult,10394.12,1692.66,14592.55,14813.22,No
Grocery,Kolkata,Male,21,Young Adult,16755.49,,9785.47,4181.91,Yes
Merchandise,Bangalore,Male,40,Middle Age,8483.05,13152.87,12775.33,3477.84,No
Grocery,Lucknow,Female,49,Middle Age,17985.43,12229.14,,,No
Merchandise,Chennai,Male,42,Middle Age,2218.95,,16905.88,,Yes
Grocery,Delhi,Female,47,Middle Age,6344.31,-8114.35,,14776.28,Yes
Grocery,Mumbai,Male,20,Young Adult,7902.32,2380.05,1097.69,7210.38,No
Merchandise,Delhi,Male,15,Teen,2149.64,21851.69,12606.78,,Yes
Merchandise,Hyderabad,Female,44,Middle Age,9900.22,12543.43,1117.01,17146.94,Yes
Merchandise,Delhi,Male,48,Middle Age,13290.49,5861.73,12437.41,14325.52,No
Grocery,Chennai,Female,30,Adult,532.01,3942.74,11213.7,11790.33,Yes
Grocery,Chennai,Female,29,Adult,12604.0,,3552.12,13917.46,Yes
Merchandise,Pune,Male,39,Middle Age,-12256.53,22992.03,18704.08,16039.08,Yes
Grocery,Hyderabad,Female,20,Young Adult,-8927.04,15452.54,15646.29,16919.16,Yes
Grocery,Chennai,Female,57,Senior,3217.51,21587.13,1686.58,8567.04,No
Merchandise,Bangalore,Female,50,Middle Age,19445.21,14395.9,11875.8,4745.79,No
Grocery,Jaipur,Female,37,Middle Age,2705.9,2190.32,17131.28,-11876.38,No
Grocery,Hyderabad,Female,37,Middle Age,10499.53,9049.76,4576.08,,Yes
Grocery,Kolkata,Male,33,Adult,13122.69,14836.87,-11549.38,12373.08,Yes
Merchandise,Mumbai,,28,Adult,3596.11,,18994.41,17693.06,No
Grocery,Jaipur,Female,22,Young Adult,16988.32,3375.3,-12715.17,-6911.46,Yes
Merchandise,Lucknow,Male,55,Senior,6279.75,17554.87,16161.86,15658.44,No
Grocery,Lucknow,Male,28,Adult,11657.23,6840.5,19679.62,15607.64,Yes
Merchandise,Hyderabad,Female,45,Middle Age,11923.17,5314.61,10194.74,16775.88,No
Merchandise,Delhi,Female,44,Middle Age,7467.82,22635.83,2390.86,8724.99,No
,Mumbai,Female,19,Young Adult,18739.92,24464.1,5366.3,10199.56,No
Grocery,Indore,Male,-1,Teen,1588.51,9386.59,6839.88,1874.19,Yes
Grocery,Jaipur,Male,28,Adult,7487.47,23667.26,20366.39,1825.23,Yes
Grocery,Delhi,Male,29,Adult,11585.62,16604.75,7614.48,2284.29,No
Merchandise,Mumbai,Female,34,Adult,4262.91,16038.97,13073.18,13692.96,Yes
Grocery,Hyderabad,Male,55,Senior,10237.16,9966.38,1032.71,13877.93,Yes
Merchandise,Pune,Female,52,Senior,1112.25,5849.65,16662.35,1975.24,Yes
Grocery,Indore,Male,62,Senior,15538.8,14792.05,976.1,9675.34,Yes
Grocery,Chennai,Female,20,Young Adult,7789.9,8239.98,17310.36,12359.43,Yes
Merchandise,Bangalore,Male,62,Senior,7981.09,,19775.18,6279.71,Yes
Merchandise,Kolkata,Male,17,Teen,13402.56,20372.94,16615.34,17559.89,No
Grocery,Kolkata,Female,18,Young Adult,16515.99,21953.75,3236.8,6061.66,Yes
Grocery,Chennai,Female,32,Adult,19200.46,3143.0,19916.63,12602.86,No
Grocery,Delhi,Female,54,Senior,13116.59,,17503.53,1190.43,No
Merchandise,Chennai,,43,Middle Age,8217.68,21157.77,18161.31,15354.11,Yes
Merchandise,Jaipur,Male,26,Adult,13276.79,14326.58,4238.23,17151.21,Yes
Merchandise,Delhi,Male,33,Adult,1215.09,10180.7,10738.44,,No
Grocery,Indore,Male,22,Young Adult,977.7,10863.62,15642.9,15218.85,Yes
Grocery,Kolkata,Female,60,Senior,16695.85,13768.5,5273.8,5168.53,No
Grocery,Pune,Female,56,,8146.2,-23302.93,17812.83,5738.45,No
Merchandise,Bangalore,Male,46,Middle Age,8375.16,21938.56,,11994.23,No
Grocery,Jaipur,Female,17,Teen,6446.22,2004.51,20268.48,11729.11,No
Grocery,Jaipur,Male,62,Senior,13507.65,17112.32,14372.66,11894.5,No
Merchandise,Kolkata,Male,41,Middle Age,6184.27,1615.61,18232.57,1084.49,No
Merchandise,Lucknow,Female,37,Middle Age,-13891.35,9933.5,8447.23,16012.5,Yes
Grocery,Mumbai,Male,57,Senior,19773.71,7789.55,2636.62,12112.73,No
Grocery,Chennai,Male,20,Young Adult,773.38,22325.65,20997.41,15717.13,No
Merchandise,Delhi,Male,35,Adult,19079.79,24227.43,13214.36,-12486.88,No
Merchandise,Chennai,Female,21,Young Adult,11335.47,12648.51,7692.52,2925.01,No
Merchandise,Indore,Male,38,Middle Age,12626.61,24237.13,16488.57,5403.01,No
Merchandise,Chennai,Female,51,Senior,19263.75,15192.41,17447.94,13359.05,No
Grocery,Indore,Female,23,Young Adult,15574.85,5869.62,10510.02,5222.62,No
Grocery,Kolkata,Male,29,Adult,13950.34,10671.48,10587.6,14795.57,Yes
Merchandise,Pune,Male,60,Senior,15462.3,14188.66,14421.19,12469.59,Yes
Grocery,Indore,Male,20,Young Adult,7849.25,19678.79,13966.71,12046.98,No
Merchandise,Hyderabad,Male,33,Adult,18058.34,22198.85,19848.73,8742.35,Yes
Merchandise,Lucknow,Female,40,Middle Age,7025.91,677.14,8447.04,,No
Merchandise,Jaipur,Male,40,Middle Age,17567.14,,12192.78,9585.16,No
Merchandise,Kolkata,Male,26,Adult,6709.01,23928.14,21560.2,6971.55,No
Grocery,Pune,Male,25,Young Adult,4754.34,7896.77,20541.19,14369.31,Yes
Merchandise,Chennai,Female,44,Middle Age,5165.09,7524.45,13453.95,6775.7,Yes
Grocery,Kolkata,Male,15,Teen,3051.12,18819.84,14031.92,16865.88,No
Merchandise,Lucknow,Male,34,Adult,13310.71,4122.17,2469.69,6759.81,Yes
Merchandise,Mumbai,Male,-1,Teen,,,7817.0,3506.91,Yes
Merchandise,Chennai,Male,54,Senior,2978.3,10240.99,4933.67,4931.57,Yes
Grocery,Bangalore,Male,57,Senior,15484.86,,18099.0,6009.36,No
Grocery,Lucknow,Female,38,Middle Age,2189.41,5403.72,17415.85,10584.47,No
Merchandise,Mumbai,Female,38,Middle Age,15285.62,17991.36,21869.85,1631.66,No
Merchandise,Indore,Female,57,Senior,19733.26,,19493.09,10913.48,Yes
Grocery,Hyderabad,Male,54,Senior,11661.47,17029.77,11136.52,10513.83,Yes
Merchandise,Jaipur,Male,46,Middle Age,8322.22,20139.68,5775.0,16620.41,No
Merchandise,Delhi,Female,24,Young Adult,5271.52,24175.37,16086.02,16318.07,Yes
Grocery,Mumbai,Male,15,Teen,4818.92,19523.84,16105.86,7011.26,Yes
,Hyderabad,Female,30,Adult,14831.82,4335.36,21872.28,8856.62,No
Merchandise,Kolkata,Female,18,Young Adult,4150.98,18554.53,-10227.22,3676.95,No
Grocery,Kolkata,Female,-1,Teen,3104.75,21443.72,10549.41,15919.75,Yes
Grocery,Pune,Male,28,Adult,8840.24,23818.71,10506.09,16824.14,No
Merchandise,Mumbai,Female,41,Middle Age,1529.82,24560.22,16257.08,6458.12,Yes
Grocery,Pune,Male,49,Middle Age,15679.09,6603.88,13659.62,3821.57,Yes
Grocery,Bangalore,Female,57,Senior,16055.43,12743.68,5098.7,13007.87,Yes
Grocery,Indore,Male,40,Middle Age,15832.75,3544.93,6240.87,3171.89,Yes
Grocery,Indore,Female,56,Senior,4785.63,1693.01,,9231.35,Yes
Grocery,Lucknow,Female,26,Adult,7541.34,20754.83,12196.71,1016.26,No
Grocery,Kolkata,Female,57,Senior,15940.14,19257.22,13282.07,3868.4,Yes
Grocery,Bangalore,Male,35,Adult,7519.29,24740.3,18320.85,10374.59,No
Merchandise,Bangalore,Female,46,Middle Age,3081.64,19790.35,1742.81,-13585.83,No
Merchandise,Indore,Female,45,Middle Age,1303.77,8354.4,18537.95,-1081.16,Yes
Grocery,Indore,Female,-1,Teen,5951.21,12906.01,3966.04,,Yes
Merchandise,Chennai,Female,20,Young Adult,,13850.48,18202.66,7106.53,No
Grocery,,,39,Middle Age,,15876.2,7637.24,2496.7,Yes
Grocery,Chennai,Female,41,Middle Age,15326.11,22568.43,20086.77,,No
Merchandise,Jaipur,Male,41,Middle Age,15656.68,-1130.1,10216.16,2346.39,No
Merchandise,Mumbai,Male,28,Adult,12323.82,16797.34,20093.17,12415.52,Yes
Merchandise,Hyderabad,Female,49,Middle Age,,4989.88,18189.87,14630.74,No
Merchandise,Indore,Male,23,Young Adult,-8045.67,19879.92,,2387.46,No
Merchandise,Hyderabad,Male,64,Senior,18145.87,19941.75,,1319.02,Yes
